cell_type,rank,gene_symbol,log2FC,p_val_adj
Oligodendrocytes,32,CDK18,1.226522445678711,0.04859690600515339
Oligodendrocytes,33,RNASE1,1.0778954029083252,0.05334419280666546
Oligodendrocytes,34,PADI2,1.2194325923919678,0.07220844593727231
Oligodendrocytes,35,ANLN,2.080078363418579,0.07673270144341977
Oligodendrocytes,36,CNP,0.8916014432907104,0.09381313325858237
Oligodendrocytes,37,NDRG1,1.1532078981399536,0.09794069126499805
Oligodendrocytes,38,CAPN3,1.3901171684265137,0.11561485895683209
Oligodendrocytes,39,PAQR6,0.8541823029518127,0.11778568119937162
Oligodendrocytes,40,MYRF,1.4248480796813965,0.12409540348711394
Oligodendrocytes,41,CLDN11,1.1177794933319092,0.14140140465276413
Oligodendrocytes,42,UGT8,1.7401756048202515,0.14397662695800817
Oligodendrocytes,43,TMEM144,1.3742860555648804,0.18095134863325066
Oligodendrocytes,44,AL359091.1,1.7068449258804321,0.19387532223862322
Oligodendrocytes,45,PLPP2,1.9797419309616089,0.20343230386084457
Oligodendrocytes,46,ENPP2,1.4909534454345703,0.20619367150046336
Oligodendrocytes,47,GJB1,2.2581844329833984,0.20800613736047943
Oligodendrocytes,48,SLC5A11,2.0515358448028564,0.26316496517867477
Oligodendrocytes,49,SEMA3B,1.2440721988677979,0.280116851697498
Oligodendrocytes,50,FOLH1,2.7395517826080322,0.3081828711861265
Vascular Endothelial,1,MTRNR2L12,3.213111400604248,0.0
Vascular Endothelial,2,FAM107A,2.7781424522399902,0.0
Vascular Endothelial,3,MTRNR2L1,2.7959396839141846,0.0
Vascular Endothelial,4,MTRNR2L8,2.5906524658203125,0.0
Vascular Endothelial,5,TMSB4X,1.7994322776794434,6.435350470483018e-298
Vascular Endothelial,6,SLC6A1,2.16970157623291,1.7814877972941622e-287
Vascular Endothelial,7,RPL37A,1.507738471031189,2.6779102393898847e-279
Vascular Endothelial,8,RPLP1,1.538558840751648,4.798163518481253e-274
Vascular Endothelial,9,KIT,2.361635446548462,1.9638075174324162e-264
Vascular Endothelial,10,RPL41,1.48716139793396,4.1749651865906735e-258
Vascular Endothelial,11,RPL37,1.5468709468841553,1.1597284845979852e-248
Vascular Endothelial,12,FTL,1.3783682584762573,2.5806459364246713e-228
Vascular Endothelial,13,BHLHE22,2.174020767211914,3.3845784532785976e-227
Vascular Endothelial,14,RPL36,1.3773375749588013,2.414846882482547e-217
Vascular Endothelial,15,CAMK2N1,1.8086755275726318,6.043588901909314e-216
Vascular Endothelial,16,RPL38,1.6180989742279053,3.9732868626518417e-212
Vascular Endothelial,17,HOMER3,1.8589788675308228,1.7955117817801598e-209
Vascular Endothelial,18,GAD1,1.9508432149887085,1.0992406817229141e-206
Vascular Endothelial,19,COX6A1,1.4254120588302612,7.26311827558635e-203
Vascular Endothelial,20,RPS21,1.2970471382141113,1.4315448328445213e-188
Vascular Endothelial,21,RPS29,1.4622904062271118,2.6788718262984295e-188
Vascular Endothelial,22,SCGN,2.2932701110839844,2.197791512037732e-187
Vascular Endothelial,23,NDUFA4,1.0964432954788208,2.395024295350075e-187
Vascular Endothelial,24,PVALB,2.046916961669922,5.112650461042917e-182
Vascular Endothelial,25,S100B,1.701959252357483,6.439337124581026e-182
Vascular Endothelial,26,ATP1B1,1.4147038459777832,2.6640768222981904e-180
Vascular Endothelial,27,GABRA1,1.5374668836593628,6.785346058760184e-179
Vascular Endothelial,28,SNHG6,1.5370688438415527,2.293774733684977e-177
Vascular Endothelial,29,CKB,0.7789384126663208,2.371777348785728e-177
Vascular Endothelial,30,RPS24,1.1860835552215576,2.6679042160153988e-174
Vascular Endothelial,31,UQCRB,1.3598287105560303,5.922269766584107e-174
Vascular Endothelial,32,RPS28,1.1421157121658325,1.254275267343171e-173
Vascular Endothelial,33,MIF,1.1713494062423706,1.508614183816425e-170
Vascular Endothelial,34,RPL39,1.4123563766479492,3.631541863541434e-169
Vascular Endothelial,35,GAD2,2.019304037094116,4.5192958373269735e-168
Vascular Endothelial,36,HBB,3.072657823562622,1.1201355258765134e-166
Vascular Endothelial,37,RPS27,1.3779374361038208,1.429083742885162e-165
Vascular Endothelial,38,NDRG2,1.4822962284088135,2.6490179099046672e-157
Vascular Endothelial,39,RPL28,1.095942735671997,1.4110048605640187e-152
Vascular Endothelial,40,ATP1A3,1.4136173725128174,5.440653869077502e-152
Vascular Endothelial,41,COX5B,1.1136537790298462,5.385023996395542e-150
Vascular Endothelial,42,RPS19,1.3296388387680054,5.385023996395542e-150
Vascular Endothelial,43,RPL21,1.1516435146331787,3.314998995238931e-148
Vascular Endothelial,44,RPS23,1.1944975852966309,4.3947808130354944e-148
Vascular Endothelial,45,RPL34,0.9608259201049805,1.753326714932222e-147
Vascular Endothelial,46,SPARC,1.5547016859054565,1.1663286992344222e-146
Vascular Endothelial,47,C1QTNF4,1.3877211809158325,4.006546603182922e-145
Vascular Endothelial,48,RPS14,1.1967806816101074,1.0381349322342719e-141
Vascular Endothelial,49,RPS18,1.2151174545288086,4.3253292140223966e-139
Vascular Endothelial,50,DNER,1.4754446744918823,5.956827255126499e-139
