Rank,Biomarker_Name,Original_Index,Attention_Score,Ensembl ID,Gene Name
252,190,190,2.6963178e-12,ENSG00000169991,IFFO2
253,227,227,2.6963024e-12,ENSG00000133216,EPHB2
254,219,219,2.6961944e-12,ENSG00000142798,HSPG2
255,226,226,2.696076e-12,ENSG00000173369,C1QB
256,439,439,2.6960554e-12,ENSG00000117016,RIMS3
257,54,54,2.6959114e-12,ENSG00000157933,SKI
258,356,356,2.6958756e-12,ENSG00000160097,FNDC5
259,139,139,2.6958704e-12,ENSG00000116663,FBXO6
260,309,309,2.6957932e-12,ENSG00000204138,PHACTR4
261,326,326,2.695788e-12,ENSG00000060688,SNRNP40
262,100,100,2.6957625e-12,ENSG00000269978,AL359881.1
263,437,437,2.6956183e-12,ENSG00000164002,EXO5
264,434,434,2.6955157e-12,ENSG00000049089,COL9A2
265,143,143,2.695166e-12,ENSG00000011021,CLCN6
266,106,106,2.6950065e-12,ENSG00000142599,RERE
267,255,255,2.6950065e-12,ENSG00000117616,RSRP1
268,458,458,2.694904e-12,ENSG00000164011,ZNF691
269,109,109,2.6946108e-12,ENSG00000049239,H6PD
270,340,340,2.6944824e-12,ENSG00000160050,CCDC28B
271,234,234,2.6944003e-12,ENSG00000204219,TCEA3
272,287,287,2.6941535e-12,ENSG00000142784,WDTC1
273,461,461,2.6940815e-12,ENSG00000179178,TMEM125
274,453,453,2.6940405e-12,ENSG00000065978,YBX1
275,492,492,2.6937786e-12,ENSG00000186603,HPDL
276,103,103,2.6934034e-12,ENSG00000116288,PARK7
277,127,127,2.6933364e-12,ENSG00000175262,C1orf127
278,136,136,2.6932133e-12,ENSG00000204624,DISP3
279,185,185,2.6928744e-12,ENSG00000117115,PADI2
280,213,213,2.6928332e-12,ENSG00000075151,EIF4G3
281,294,294,2.6927614e-12,ENSG00000000938,FGR
282,282,282,2.6926176e-12,ENSG00000198746,GPATCH3
283,405,405,2.692561e-12,ENSG00000183317,EPHA10
284,56,56,2.6925506e-12,ENSG00000116151,MORN1
285,130,130,2.6923607e-12,ENSG00000116649,SRM
286,228,228,2.6923197e-12,ENSG00000004487,KDM1A
287,311,311,2.6912823e-12,ENSG00000242125,SNHG3
288,10,10,2.691221e-12,ENSG00000131591,C1orf159
289,217,217,2.6910514e-12,ENSG00000076864,RAP1GAP
290,81,81,2.6910258e-12,ENSG00000116254,CHD5
291,491,491,2.6910002e-12,ENSG00000162415,ZSWIM5
292,345,345,2.690518e-12,ENSG00000175130,MARCKSL1
293,322,322,2.690323e-12,ENSG00000162511,LAPTM5
294,416,416,2.6893943e-12,ENSG00000228436,AL139260.1
295,155,155,2.6893735e-12,ENSG00000189337,KAZN
296,302,302,2.6889786e-12,ENSG00000158156,XKR8
297,89,89,2.6862772e-12,ENSG00000215788,TNFRSF25
298,408,408,2.680274e-12,ENSG00000197982,C1orf122
299,283,283,2.6782144e-12,ENSG00000090273,NUDC
300,276,276,2.676519e-12,ENSG00000198830,HMGN2
301,334,334,2.6646966e-12,ENSG00000184007,PTP4A2
302,252,252,2.6275956e-12,ENSG00000133226,SRRM1
303,427,427,2.5867153e-12,ENSG00000043514,TRIT1
304,358,358,2.5360595e-12,ENSG00000121900,TMEM54
