Biomarker_Name,Original_Index,Attention_Score
181,181,9.507037e-19
444,444,9.428915e-19
339,339,7.914632e-19
168,168,6.74685e-19
218,218,6.671503e-19
80,80,5.9660334e-19
364,364,5.7827426e-19
42,42,5.710381e-19
119,119,5.617155e-19
478,478,5.2077575e-19
206,206,4.51012e-19
226,226,2.9623708e-19
494,494,2.8278573e-19
48,48,1.780686e-19
375,375,1.7637714e-19
319,319,1.7034907e-19
354,354,1.7006598e-19
27,27,1.6043645e-19
251,251,1.6007454e-19
200,200,1.5027233e-19
463,463,1.49025e-19
57,57,1.3339775e-19
290,290,1.2282192e-19
247,247,7.8499505e-20
95,95,4.801307e-20
14,14,4.777683e-20
88,88,4.482144e-20
429,429,4.1898356e-20
405,405,3.2320515e-20
163,163,1.5104467e-20
417,417,8.819336e-21
235,235,8.178361e-21
382,382,8.095794e-21
337,337,6.595079e-21
127,127,3.8181623e-21
346,346,2.960007e-21
332,332,2.1981889e-21
213,213,1.7013524e-21
357,357,5.844407e-22
101,101,5.3949756e-22
171,171,5.2780484e-22
423,423,3.1040478e-22
273,273,2.3619576e-22
258,258,6.846864e-23
109,109,6.564101e-23
274,274,2.7666785e-23
35,35,2.5899485e-23
141,141,4.7051818e-24
