Biomarker_Name,Original_Index,Attention_Score,Ensembl ID,Gene Name
214,214,1.2223284e-14,ENSG00000117298,ECE1
68,68,1.2222562e-14,ENSG00000130762,ARHGEF16
365,365,1.2222165e-14,ENSG00000121904,CSMD2
55,55,1.2219952e-14,ENSG00000287356,AL590822.3
412,412,1.2214824e-14,ENSG00000183386,FHL3
19,19,1.2212565e-14,ENSG00000127054,INTS11
397,397,1.2212006e-14,ENSG00000163873,GRIK3
50,50,1.221189e-14,ENSG00000187730,GABRD
313,313,1.22097e-14,ENSG00000197989,SNHG12
496,496,1.2201994e-14,ENSG00000280670,CCDC163
71,71,1.2183506e-14,ENSG00000116213,WRAP73
8,8,1.21798815e-14,ENSG00000187608,ISG15
343,343,1.21635846e-14,ENSG00000084623,EIF3I
153,153,1.2122843e-14,ENSG00000162493,PDPN
360,360,1.2080211e-14,ENSG00000004455,AK2
266,266,1.206078e-14,ENSG00000158006,PAFAH2
439,439,1.1975896e-14,ENSG00000117016,RIMS3
26,26,1.19653475e-14,ENSG00000242485,MRPL20
197,197,1.1658336e-14,ENSG00000053371,AKR7A2
139,139,1.0262535e-14,ENSG00000116663,FBXO6
308,308,9.515728e-15,ENSG00000130772,MED18
491,491,8.730291e-15,ENSG00000162415,ZSWIM5
492,492,8.704785e-15,ENSG00000186603,HPDL
51,51,8.183442e-15,ENSG00000067606,PRKCZ
270,270,7.9285486e-15,ENSG00000142684,ZNF593
192,192,7.163175e-15,ENSG00000127481,UBR4
353,353,6.8296237e-15,ENSG00000162522,KIAA1522
173,173,5.851901e-15,ENSG00000185519,FAM131C
85,85,5.696533e-15,ENSG00000116237,ICMT
312,312,5.5263055e-15,ENSG00000180098,TRNAU1AP
272,272,5.4015435e-15,ENSG00000130695,CEP85
165,165,4.4351276e-15,ENSG00000233954,UQCRHL
91,91,3.861988e-15,ENSG00000162408,NOL9
148,148,3.4113405e-15,ENSG00000028137,TNFRSF1B
34,34,2.8031713e-15,ENSG00000160075,SSU72
116,116,2.7919548e-15,ENSG00000162441,LZIC
223,223,2.7110668e-15,ENSG00000070886,EPHA8
393,393,2.7076458e-15,ENSG00000181817,LSM10
83,83,2.6040366e-15,ENSG00000226944,AL031847.1
282,282,2.6002546e-15,ENSG00000198746,GPATCH3
489,489,2.4714128e-15,ENSG00000126107,HECTD3
75,75,2.392426e-15,ENSG00000116198,CEP104
81,81,2.1898093e-15,ENSG00000116254,CHD5
60,60,2.1755798e-15,ENSG00000157911,PEX10
128,128,2.1623498e-15,ENSG00000120948,TARDBP
348,348,2.034426e-15,ENSG00000273274,ZBTB8B
420,420,1.6448785e-15,ENSG00000127603,MACF1
398,398,1.5164086e-15,ENSG00000233621,LINC01137
415,415,1.4735429e-15,ENSG00000116954,RRAGC
59,59,1.4171249e-15,ENSG00000157916,RER1
366,366,1.3618794e-15,ENSG00000163866,SMIM12
